DateTime,Junction,Vehicles,ID,Weather,Temperature_C,Camera_ID,Operator_Name,Notes
2015-11-01 00:00:00,1,15,20151101001,Sunny,10,C0,Alice,OK
2015-11-01 01:00:00,1,13,20151101011,Cloudy,11,C1,Bob,OK
2015-11-01 02:00:00,1,10,20151101021,Rainy,12,C2,Charlie,OK
2015-11-01 03:00:00,1,7,20151101031,Snowy,13,C3,Dana,OK
2015-11-01 04:00:00,1,9,20151101041,Sunny,14,C4,Alice,OK
2015-11-01 05:00:00,1,6,20151101051,Cloudy,15,C0,Bob,OK
2015-11-01 06:00:00,1,9,20151101061,Rainy,16,C1,Charlie,OK
2015-11-01 07:00:00,1,8,20151101071,Snowy,17,C2,Dana,OK
2015-11-01 08:00:00,1,11,20151101081,Sunny,18,C3,Alice,OK
2015-11-01 09:00:00,1,12,20151101091,Cloudy,19,C4,Bob,OK
2015-11-01 10:00:00,1,15,20151101101,Rainy,20,C0,Charlie,OK
2015-11-01 11:00:00,1,17,20151101111,Snowy,21,C1,Dana,OK
2015-11-01 12:00:00,1,16,20151101121,Sunny,22,C2,Alice,OK
2015-11-01 13:00:00,1,15,20151101131,Cloudy,23,C3,Bob,OK
2015-11-01 14:00:00,1,16,20151101141,Rainy,24,C4,Charlie,OK
2015-11-01 15:00:00,1,12,20151101151,Snowy,25,C0,Dana,OK
2015-11-01 16:00:00,1,12,20151101161,Sunny,26,C1,Alice,OK
2015-11-01 17:00:00,1,16,20151101171,Cloudy,27,C2,Bob,OK
2015-11-01 18:00:00,1,17,20151101181,Rainy,28,C3,Charlie,OK
2015-11-01 19:00:00,1,20,20151101191,Snowy,29,C4,Dana,OK
2015-11-01 20:00:00,1,17,20151101201,Sunny,30,C0,Alice,OK
2015-11-01 21:00:00,1,19,20151101211,Cloudy,31,C1,Bob,OK
2015-11-01 22:00:00,1,20,20151101221,Rainy,32,C2,Charlie,OK
2015-11-01 23:00:00,1,15,20151101231,Snowy,33,C3,Dana,OK
2015-11-02 00:00:00,1,14,20151102001,Sunny,34,C4,Alice,OK
2015-11-02 01:00:00,1,12,20151102011,Cloudy,35,C0,Bob,OK
2015-11-02 02:00:00,1,14,20151102021,Rainy,36,C1,Charlie,OK
2015-11-02 03:00:00,1,12,20151102031,Snowy,37,C2,Dana,OK
2015-11-02 04:00:00,1,12,20151102041,Sunny,38,C3,Alice,OK
2015-11-02 05:00:00,1,11,20151102051,Cloudy,39,C4,Bob,OK
